INPUT SPACE DOWN
TRACE_ACTIVE_AFTER_SPACE
HUDCMD_085 all=0126 op=D0 lop=0 sx=152 sy=264 dx=152 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=9830 HL=0808
HUDCMD_086 all=0127 op=D0 lop=0 sx=008 sy=288 dx=160 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=A030 HL=0808
HUDCMD_087 all=0128 op=D0 lop=0 sx=040 sy=288 dx=168 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=A830 HL=0808
HUDCMD_088 all=0129 op=D0 lop=0 sx=112 sy=256 dx=176 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=B030 HL=0808
HUDCMD_089 all=0130 op=D0 lop=0 sx=120 sy=256 dx=184 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=B830 HL=0808
HUDCMD_090 all=0131 op=D0 lop=0 sx=112 sy=256 dx=192 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=C030 HL=0808
HUDCMD_091 all=0132 op=D0 lop=0 sx=120 sy=256 dx=200 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=C830 HL=0808
HUDCMD_092 all=0133 op=D0 lop=0 sx=112 sy=256 dx=208 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=D030 HL=0808
HUDCMD_093 all=0134 op=D0 lop=0 sx=120 sy=256 dx=216 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=D830 HL=0808
HUDCMD_094 all=0135 op=D0 lop=0 sx=112 sy=256 dx=224 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=E030 HL=0808
