ROM Vampire Killer SHA1 5EF7D03B138A2023F6DEF241B671C666F97ED83B
MACHINE C-BIOS_MSX2+
EXTENSIONS ERROR wrong # args: should be "ext extension"
DEBUG_LIST {VDP palette} ioports joystickports {Printer Port} {PSG regs} {VDP status regs} {VDP register latch status} {C-BIOS Main ROM romblocks} {C-BIOS MSX-MUSIC regs} {slotted memory} keymatrix {physical VRAM} {Main RAM regs} {C-BIOS Logo ROM romblocks} MapperIO {VDP palette latch status} {Vampire Killer - Akumaj? Dracula} {VDP regs} memory VRAM {C-BIOS Main ROM} {C-BIOS Sub ROM} {C-BIOS Logo ROM} {C-BIOS Sub ROM romblocks} {VDP data latch value} {CPU regs} {Vampire Killer - Akumaj? Dracula romblocks} {VRAM access status} {C-BIOS MSX-MUSIC ROM} {Main RAM} {VRAM pointer} {Real time clock SRAM}
VDP_CTRL_033_VAL_F0 PC=0403 SP=F2D4 AF=F0A4 BC=F007 DE=EA80 HL=0AF0
VDP_CTRL_034_VAL_87 PC=0408 SP=F2D4 AF=8784 BC=F007 DE=EA80 HL=0AF0
VDP_CTRL_035_VAL_06 PC=0403 SP=F2D8 AF=0604 BC=0600 DE=EA80 HL=0AF0
VDP_CTRL_036_VAL_80 PC=0408 SP=F2D8 AF=8080 BC=0600 DE=EA80 HL=0AF0
VDP_CTRL_037_VAL_A0 PC=0403 SP=F2D8 AF=A000 BC=A001 DE=EA80 HL=0AF0
VDP_CTRL_038_VAL_81 PC=0408 SP=F2D8 AF=8184 BC=A001 DE=EA80 HL=0AF0
VDP_CTRL_039_VAL_1F PC=0403 SP=F2D8 AF=1F44 BC=1F02 DE=EA80 HL=7600
VDP_CTRL_040_VAL_82 PC=0408 SP=F2D8 AF=8284 BC=1F02 DE=EA80 HL=7600
VDP_CTRL_041_VAL_EF PC=0403 SP=F2D8 AF=EFA0 BC=EF05 DE=EA80 HL=7600
VDP_CTRL_042_VAL_85 PC=0408 SP=F2D8 AF=8580 BC=EF05 DE=EA80 HL=7600
VDP_CTRL_043_VAL_00 PC=0403 SP=F2D8 AF=00A0 BC=000B DE=EA80 HL=7600
VDP_CTRL_044_VAL_8B PC=0408 SP=F2D8 AF=8B8C BC=000B DE=EA80 HL=7600
VDP_CTRL_045_VAL_0F PC=0403 SP=F2D8 AF=0FA8 BC=0F06 DE=EA80 HL=7600
VDP_CTRL_046_VAL_86 PC=0408 SP=F2D8 AF=8680 BC=0F06 DE=EA80 HL=7600
VDP_CTRL_047_VAL_01 PC=09B9 SP=F2D2 AF=0144 BC=0006 DE=EAD9 HL=7600
VDP_CTRL_048_VAL_8E PC=09BD SP=F2D2 AF=8E44 BC=0006 DE=EAD9 HL=7600
VDP_CTRL_049_VAL_00 PC=09C1 SP=F2D4 AF=0044 BC=0006 DE=EAD9 HL=7600
VDP_CTRL_050_VAL_76 PC=0990 SP=F2D6 AF=7620 BC=0006 DE=EAD9 HL=7600
VDP_CTRL_051_VAL_02 PC=09D3 SP=F2D2 AF=0244 BC=0020 DE=0FD9 HL=0100
VDP_CTRL_052_VAL_8F PC=09D7 SP=F2D2 AF=8F44 BC=0020 DE=0FD9 HL=0100
VDP_CTRL_053_VAL_00 PC=09DD SP=F2D0 AF=0044 BC=0020 DE=0FD9 HL=0100
VDP_CTRL_054_VAL_8F PC=09E1 SP=F2D0 AF=8F44 BC=0020 DE=0FD9 HL=0100
VDP_CTRL_055_VAL_00 PC=0D63 SP=F2D6 AF=0044 BC=002C DE=0FD9 HL=0100
VDP_CTRL_056_VAL_AC PC=0D68 SP=F2D6 AF=ACAC BC=002C DE=0FD9 HL=0100
VDP_CTRL_057_VAL_00 PC=0D63 SP=F2D4 AF=00AC BC=0028 DE=0FD9 HL=0100
VDP_CTRL_058_VAL_A8 PC=0D68 SP=F2D4 AF=A8A8 BC=0028 DE=0FD9 HL=0100
VDP_CTRL_059_VAL_01 PC=0D63 SP=F2D6 AF=0128 BC=0029 DE=0FD9 HL=0100
VDP_CTRL_060_VAL_A9 PC=0D68 SP=F2D6 AF=A9AC BC=0029 DE=0FD9 HL=0100
VDP_CTRL_061_VAL_D4 PC=0D63 SP=F2D4 AF=D4AC BC=002A DE=0FD9 HL=00D4
VDP_CTRL_062_VAL_AA PC=0D68 SP=F2D4 AF=AAAC BC=002A DE=0FD9 HL=00D4
VDP_CTRL_063_VAL_00 PC=0D63 SP=F2D6 AF=0028 BC=002B DE=0FD9 HL=00D4
VDP_CTRL_064_VAL_AB PC=0D68 SP=F2D6 AF=ABA8 BC=002B DE=0FD9 HL=00D4
VDP_CTRL_065_VAL_00 PC=0D63 SP=F2D4 AF=00A8 BC=0024 DE=0FD9 HL=0000
VDP_CTRL_066_VAL_A4 PC=0D68 SP=F2D4 AF=A4A0 BC=0024 DE=0FD9 HL=0000
VDP_CTRL_067_VAL_00 PC=0D63 SP=F2D6 AF=0020 BC=0025 DE=0FD9 HL=0000
VDP_CTRL_068_VAL_A5 PC=0D68 SP=F2D6 AF=A5A4 BC=0025 DE=0FD9 HL=0000
VDP_CTRL_069_VAL_00 PC=0D63 SP=F2D4 AF=00A4 BC=0026 DE=0FD9 HL=0000
VDP_CTRL_070_VAL_A6 PC=0D68 SP=F2D4 AF=A6A4 BC=0026 DE=0FD9 HL=0000
VDP_CTRL_071_VAL_00 PC=0D63 SP=F2D6 AF=0020 BC=0027 DE=0FD9 HL=0000
VDP_CTRL_072_VAL_A7 PC=0D68 SP=F2D6 AF=A7A0 BC=0027 DE=0FD9 HL=0000
VDP_CTRL_073_VAL_00 PC=0D63 SP=F2D6 AF=00A0 BC=002D DE=0FD9 HL=0000
VDP_CTRL_074_VAL_AD PC=0D68 SP=F2D6 AF=ADA8 BC=002D DE=0FD9 HL=0000
VDP_CTRL_075_VAL_C0 PC=0D63 SP=F2D6 AF=C0A8 BC=002E DE=0FD9 HL=0000
VDP_CTRL_076_VAL_AE PC=0D68 SP=F2D6 AF=AEA8 BC=002E DE=0FD9 HL=0000
VDP_CTRL_077_VAL_02 PC=09D3 SP=F2D4 AF=02A8 BC=002E DE=0FD9 HL=0000
VDP_CTRL_078_VAL_8F PC=09D7 SP=F2D4 AF=8FA8 BC=002E DE=0FD9 HL=0000
VDP_CTRL_079_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_080_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
VDP_CTRL_081_VAL_02 PC=09D3 SP=F2D4 AF=0281 BC=002E DE=0FD9 HL=0000
VDP_CTRL_082_VAL_8F PC=09D7 SP=F2D4 AF=8F81 BC=002E DE=0FD9 HL=0000
VDP_CTRL_083_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_084_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
VDP_CTRL_085_VAL_02 PC=09D3 SP=F2D4 AF=0281 BC=002E DE=0FD9 HL=0000
VDP_CTRL_086_VAL_8F PC=09D7 SP=F2D4 AF=8F81 BC=002E DE=0FD9 HL=0000
VDP_CTRL_087_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_088_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
VDP_CTRL_089_VAL_02 PC=09D3 SP=F2D4 AF=0281 BC=002E DE=0FD9 HL=0000
VDP_CTRL_090_VAL_8F PC=09D7 SP=F2D4 AF=8F81 BC=002E DE=0FD9 HL=0000
VDP_CTRL_091_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_092_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
VDP_CTRL_093_VAL_02 PC=09D3 SP=F2D4 AF=0281 BC=002E DE=0FD9 HL=0000
VDP_CTRL_094_VAL_8F PC=09D7 SP=F2D4 AF=8F81 BC=002E DE=0FD9 HL=0000
VDP_CTRL_095_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_096_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
VDP_CTRL_097_VAL_02 PC=09D3 SP=F2D4 AF=0281 BC=002E DE=0FD9 HL=0000
VDP_CTRL_098_VAL_8F PC=09D7 SP=F2D4 AF=8F81 BC=002E DE=0FD9 HL=0000
VDP_CTRL_099_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_100_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
VDP_CTRL_101_VAL_02 PC=09D3 SP=F2D4 AF=0281 BC=002E DE=0FD9 HL=0000
VDP_CTRL_102_VAL_8F PC=09D7 SP=F2D4 AF=8F81 BC=002E DE=0FD9 HL=0000
VDP_CTRL_103_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_104_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
VDP_CTRL_105_VAL_02 PC=09D3 SP=F2D4 AF=0281 BC=002E DE=0FD9 HL=0000
VDP_CTRL_106_VAL_8F PC=09D7 SP=F2D4 AF=8F81 BC=002E DE=0FD9 HL=0000
VDP_CTRL_107_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_108_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
VDP_CTRL_109_VAL_02 PC=09D3 SP=F2D4 AF=02A1 BC=002E DE=0FD9 HL=0000
VDP_CTRL_110_VAL_8F PC=09D7 SP=F2D4 AF=8FA1 BC=002E DE=0FD9 HL=0000
VDP_CTRL_111_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_112_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
VDP_CTRL_113_VAL_02 PC=09D3 SP=F2D4 AF=02A1 BC=002E DE=0FD9 HL=0000
VDP_CTRL_114_VAL_8F PC=09D7 SP=F2D4 AF=8FA1 BC=002E DE=0FD9 HL=0000
VDP_CTRL_115_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_116_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
