WRT_029 hl=1A5C a=9A pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=06,04 rest=00,00 draw=9A@1C,12
WRT_030 hl=1A5D a=99 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=06,05 rest=00,00 draw=99@1D,12
WRT_031 hl=1A7B a=98 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=07,03 rest=00,00 draw=98@1B,13
WRT_032 hl=1A7C a=99 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=07,04 rest=00,00 draw=99@1C,13
BP_restore_exposed pc=61E9 sp=F36E p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=08,08 rest=00,00 draw=99@1C,13
WRT_033 hl=1998 a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=00,00 rest=00,00 draw=FF@18,0C
WRT_034 hl=1999 a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=00,01 rest=00,01 draw=FF@19,0C
WRT_035 hl=199A a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=00,02 rest=00,02 draw=FF@1A,0C
WRT_036 hl=199B a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=00,03 rest=00,03 draw=FF@1B,0C
WRT_037 hl=199C a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=00,04 rest=00,04 draw=FF@1C,0C
