AFTER_INPUT pc=6171 sp=F348 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TIMER pc=6177 sp=F348 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TRANSITION pc=617A sp=F348 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ENTITIES pc=617D sp=F348 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_PLAYER_SM pc=6186 sp=F348 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ALL_SM pc=6189 sp=F348 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F348 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ANIM pc=6195 sp=F348 top=6198/6198 bank=06/06 irq=000F inirq=00
LOOP_START pc=6165 sp=F346 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_INPUT pc=6171 sp=F346 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TIMER pc=6177 sp=F346 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TRANSITION pc=617A sp=F346 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ENTITIES pc=617D sp=F346 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_PLAYER_SM pc=6186 sp=F346 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ALL_SM pc=6189 sp=F346 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F346 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ANIM pc=6195 sp=F346 top=6198/6198 bank=06/06 irq=000F inirq=00
LOOP_START pc=6165 sp=F344 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_INPUT pc=6171 sp=F344 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TIMER pc=6177 sp=F344 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TRANSITION pc=617A sp=F344 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ENTITIES pc=617D sp=F344 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_PLAYER_SM pc=6186 sp=F344 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ALL_SM pc=6189 sp=F344 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F344 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ANIM pc=6195 sp=F344 top=6198/6198 bank=06/06 irq=000F inirq=00
LOOP_START pc=6165 sp=F342 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_INPUT pc=6171 sp=F342 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TIMER pc=6177 sp=F342 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TRANSITION pc=617A sp=F342 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ENTITIES pc=617D sp=F342 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_PLAYER_SM pc=6186 sp=F342 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ALL_SM pc=6189 sp=F342 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F342 top=6198/6198 bank=06/06 irq=000F inirq=00
