BP_task_input_266 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0238 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,185,160 pos=8,80
BP_task_input_267 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0239 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,185,160 pos=8,80
BP_task_input_268 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=023A inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,185,160 pos=8,80
BP_task_input_269 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=023B inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,186,160 pos=8,80
BP_task_input_270 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=023C inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,186,160 pos=8,80
BP_task_input_271 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=023D inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,186,160 pos=8,80
BP_task_input_272 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=023E inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,187,160 pos=8,80
BP_task_input_273 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=023F inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,187,160 pos=8,80
BP_task_input_274 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0240 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,187,160 pos=8,80
BP_task_input_275 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0241 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,188,160 pos=8,80
BP_task_input_276 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0242 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,188,160 pos=8,80
BP_task_input_277 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0243 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,188,160 pos=8,80
BP_task_input_278 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0244 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,189,160 pos=8,80
BP_task_input_279 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0245 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,189,160 pos=8,80
BP_task_input_280 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0246 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,189,160 pos=8,80
BP_task_input_281 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0247 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,190,160 pos=8,80
BP_task_input_282 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0248 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,190,160 pos=8,80
BP_task_input_283 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0249 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,190,160 pos=8,80
BP_task_input_284 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=024A inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,191,160 pos=8,80
BP_task_input_285 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=024B inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,191,160 pos=8,80
BP_task_input_286 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=024C inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,191,160 pos=8,80
BP_task_input_287 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=024D inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,192,160 pos=8,80
