first_SPC_DOWN
second_SPC_DOWN
START_update_all_entities pc=7861 op=3A,B4,DF sp=F37A af=004C bc=0200 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_058_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=061A de=001A hl=DF4E p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_059_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=051B de=001A hl=DF4E p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_060_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=051B de=001B hl=DF4F p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_061_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=041C de=001B hl=DF4F p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_062_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=041C de=001C hl=DF50 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_063_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=031D de=001C hl=DF50 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_064_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=031D de=001D hl=DF51 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_065_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=021E de=001D hl=DF51 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_066_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=021E de=001E hl=DF52 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_067_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=011F de=001E hl=DF52 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_068_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=011F de=001F hl=DF53 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_069_rebuild_done pc=79D5 op=3A,A6,E9 sp=F378 af=0042 bc=0020 de=001F hl=DF53 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
